Date;FX_USD/PLN;FX_EUR/PLN;FX_CHF/PLN
2019-01-02;3.7619;4.3016;3.8242
2019-01-03;3.7827;4.303;3.8343
2019-01-04;3.772;4.3018;3.8213
2019-01-07;3.7575;4.2989;3.8245
2019-01-08;3.7559;4.3013;3.8307
2019-01-09;3.7509;4.2989;3.8282
2019-01-10;3.736;4.3055;3.8273
2019-01-11;3.7289;4.2957;3.7945
2019-01-14;3.7458;4.2936;3.8116
2019-01-15;3.7542;4.2922;3.8111
2019-01-16;3.7619;4.2929;3.8066
2019-01-17;3.7615;4.2875;3.7921
2019-01-18;3.7694;4.2964;3.7917
2019-01-21;3.7751;4.2928;3.7844
2019-01-22;3.7727;4.2862;3.7839
2019-01-23;3.7747;4.2867;3.7817
2019-01-24;3.7844;4.2942;3.8084
2019-01-25;3.7893;4.2935;3.8044
2019-01-28;3.7592;4.2885;3.7896
2019-01-29;3.7563;4.2974;3.7861
2019-01-30;3.7577;4.2952;3.7725
2019-01-31;3.7271;4.2802;3.7521
2019-02-01;3.7243;4.2706;3.7509
2019-02-04;3.7408;4.2813;3.7511
2019-02-05;3.7542;4.2869;3.7519
2019-02-06;3.7706;4.2936;3.768
2019-02-07;3.7919;4.3019;3.7814
2019-02-08;3.804;4.3082;3.7956
2019-02-11;3.819;4.3172;3.8082
2019-02-12;3.838;4.3268;3.8093
2019-02-13;3.8261;4.3312;3.8031
2019-02-14;3.8516;4.3394;3.8182
2019-02-15;3.8326;4.3243;3.8081
2019-02-18;3.8286;4.3317;3.815
2019-02-19;3.8311;4.3303;3.8141
2019-02-20;3.8221;4.3371;3.819
2019-02-21;3.8247;4.3322;3.8171
2019-02-22;3.8242;4.3387;3.8225
2019-02-25;3.8241;4.3402;3.8267
2019-02-26;3.8124;4.3338;3.8145
2019-02-27;3.7886;4.3173;3.8003
2019-02-28;3.7853;4.312;3.8013
2019-03-01;3.792;4.3079;3.7907
2019-03-04;3.7893;4.2984;3.7856
2019-03-05;3.7977;4.3018;3.794
2019-03-06;3.8038;4.2992;3.7845
2019-03-07;3.8038;4.3019;3.7867
2019-03-08;3.8409;4.3068;3.8031
2019-03-11;3.8199;4.2983;3.7902
2019-03-12;3.8116;4.2976;3.7813
2019-03-13;3.8077;4.3006;3.7852
2019-03-14;3.8018;4.3015;3.7854
2019-03-15;3.8014;4.3037;3.7863
