Date;FX_USD/PLN;FX_EUR/PLN;FX_CHF/PLN
2025-01-02;4.1219;4.2668;4.5554
2025-01-03;4.1512;4.2718;4.5658
2025-01-07;4.077;4.2515;4.5097
2025-01-08;4.1335;4.2656;4.533
2025-01-09;4.1523;4.2794;4.5555
2025-01-10;4.1415;4.2657;4.5341
2025-01-13;4.1904;4.2715;4.5699
2025-01-14;4.1658;4.2737;4.5477
2025-01-15;4.133;4.2611;4.5331
2025-01-16;4.1433;4.262;4.5476
2025-01-17;4.1462;4.2691;4.5503
2025-01-20;4.1321;4.2587;4.5221
2025-01-21;4.1101;4.2554;4.5138
2025-01-22;4.0646;4.2461;4.4947
2025-01-23;4.0515;4.2182;4.4658
2025-01-24;4.0124;4.21;4.4365
2025-01-27;4.021;4.2176;4.4605
2025-01-28;4.0337;4.2092;4.453
2025-01-29;4.0443;4.2077;4.4625
2025-01-30;4.0393;4.2039;4.4502
2025-01-31;4.0576;4.213;4.4549
2025-02-03;4.1352;4.2305;4.507
2025-02-04;4.0864;4.2249;4.4924
2025-02-05;4.0426;4.2059;4.4779
2025-02-06;4.0613;4.2073;4.4861
2025-02-07;4.0321;4.1898;4.4506
2025-02-10;4.0548;4.1872;4.4545
2025-02-11;4.0497;4.1783;4.4412
2025-02-12;4.0215;4.1721;4.4166
2025-02-13;3.996;4.1652;4.4016
2025-02-14;3.972;4.1632;4.4043
2025-02-17;3.9749;4.1635;4.4152
2025-02-18;3.9729;4.1574;4.4124
2025-02-19;3.9875;4.1582;4.4079
2025-02-20;3.9974;4.1723;4.4313
2025-02-21;3.9835;4.1705;4.4313
2025-02-24;3.9734;4.1609;4.4187
2025-02-25;3.947;4.1339;4.4041
2025-02-26;3.9434;4.1394;4.4076
2025-02-27;3.9459;4.1371;4.3965
2025-02-28;3.9993;4.1575;4.4344
2025-03-03;4.0112;4.1827;4.4528
2025-03-04;3.9543;4.1568;4.4356
2025-03-05;3.8785;4.1545;4.3787
2025-03-06;3.8674;4.1766;4.3645
2025-03-07;3.8448;4.176;4.3762
2025-03-10;3.8573;4.1857;4.3977
2025-03-11;3.8481;4.1977;4.3669
2025-03-12;3.8496;4.2017;4.3568
2025-03-13;3.8568;4.196;4.3722
2025-03-14;3.8509;4.179;4.3531
2025-03-17;3.8329;4.1777;4.3423
2025-03-18;3.8152;4.1776;4.337
2025-03-19;3.8473;4.1945;4.38
2025-03-20;3.8675;4.1972;4.3844
2025-03-21;3.8774;4.1979;4.3911
2025-03-24;3.859;4.1832;4.3764
2025-03-25;3.8578;4.1664;4.3655
2025-03-26;3.8614;4.1686;4.3696
2025-03-27;3.8913;4.1913;4.4003
2025-03-28;3.8817;4.1819;4.3976
2025-03-31;3.8643;4.1839;4.3875
2025-04-01;3.8656;4.1818;4.38
2025-04-02;3.8707;4.1794;4.3763
2025-04-03;3.7968;4.1791;4.3827
2025-04-04;3.856;4.2403;4.5069
2025-04-07;3.9097;4.2975;4.5933
2025-04-08;3.927;4.2946;4.5702
2025-04-09;3.8828;4.2818;4.6068
2025-04-10;3.8637;4.2644;4.5657
2025-04-11;3.7606;4.2972;4.6249
2025-04-14;3.7564;4.2776;4.5976
2025-04-15;3.7692;4.2767;4.6257
2025-04-16;3.7851;4.3033;4.6317
2025-04-17;3.7684;4.2879;4.6144
2025-04-18;3.7661;4.2823;4.5982
2025-04-22;3.722;4.2801;4.5919
2025-04-23;3.7583;4.2893;4.575
2025-04-24;3.7599;4.2789;4.5484
2025-04-25;3.7611;4.2688;4.5278
2025-04-28;3.7701;4.2766;4.539
2025-04-29;3.7458;4.2646;4.5404
2025-04-30;3.7617;4.2778;4.5562
2025-05-02;3.7722;4.275;4.5654
2025-05-05;3.7752;4.276;4.5764
2025-05-06;3.7789;4.2806;4.5855
2025-05-07;3.7642;4.2757;4.5595
2025-05-08;3.784;4.2714;4.5762
2025-05-09;3.7681;4.2414;4.5389
