Date;FX_USD/PLN;FX_EUR/PLN;FX_CHF/PLN
2018-01-02;3.4546;4.1701;3.5567
2018-01-03;3.4616;4.1673;3.5592
2018-01-04;3.4472;4.1515;3.5308
2018-01-05;3.4488;4.1544;3.5298
2018-01-08;3.4735;4.1647;3.5502
2018-01-09;3.4992;4.1779;3.5622
2018-01-10;3.4999;4.1784;3.5623
2018-01-11;3.495;4.1758;3.5683
2018-01-12;3.4366;4.1669;3.5365
2018-01-15;3.401;4.1696;3.5334
2018-01-16;3.419;4.1825;3.5428
2018-01-17;3.4109;4.1739;3.5398
2018-01-18;3.4108;4.1663;3.5471
2018-01-19;3.3994;4.175;3.5576
2018-01-22;3.4036;4.1696;3.5472
2018-01-23;3.4084;4.1712;3.5396
2018-01-24;3.375;4.1637;3.546
2018-01-25;3.3376;4.1493;3.547
2018-01-26;3.3299;4.1477;3.5644
2018-01-29;3.3375;4.1423;3.5625
2018-01-30;3.3442;4.1461;3.5802
2018-01-31;3.3318;4.1488;3.5755
2018-02-01;3.3346;4.1504;3.5806
2018-02-02;3.3329;4.1615;3.5886
2018-02-05;3.3375;4.1585;3.5882
2018-02-06;3.3498;4.1547;3.5852
2018-02-07;3.3677;4.1593;3.5904
2018-02-08;3.4119;4.1733;3.6056
2018-02-09;3.4263;4.2024;3.6506
2018-02-12;3.4122;4.1846;3.638
2018-02-13;3.3916;4.1764;3.6283
2018-02-14;3.3769;4.1716;3.611
2018-02-15;3.3259;4.153;3.594
2018-02-16;3.3173;4.1559;3.6049
2018-02-19;3.3411;4.1467;3.6013
2018-02-20;3.3597;4.1472;3.5967
2018-02-21;3.3697;4.1562;3.5978
2018-02-22;3.4009;4.1811;3.6252
2018-02-23;3.3911;4.1738;3.6302
2018-02-26;3.3799;4.1717;3.6217
2018-02-27;3.3816;4.17;3.6093
2018-02-28;3.4188;4.1779;3.6268
2018-03-01;3.4356;4.1854;3.6333
2018-03-02;3.42;4.1986;3.647
2018-03-05;3.3995;4.1895;3.6321
2018-03-06;3.3936;4.1891;3.6114
