Date;FX_USD/PLN;FX_EUR/PLN;FX_CHF/PLN
2020-01-02;3.8;4.2571;3.9191
2020-01-03;3.8213;4.2569;3.9254
2020-01-07;3.7861;4.2347;3.8992
2020-01-08;3.8123;4.2465;3.9245
2020-01-09;3.8251;4.2459;3.9265
2020-01-10;3.8272;4.2467;3.9265
2020-01-13;3.8101;4.2353;3.917
2020-01-14;3.8019;4.2323;3.9208
2020-01-15;3.7992;4.2279;3.9317
2020-01-16;3.7968;4.2348;3.9421
2020-01-17;3.8053;4.2344;3.941
2020-01-20;3.8277;4.2447;3.9539
2020-01-21;3.8284;4.2459;3.9532
2020-01-22;3.8202;4.237;3.9328
2020-01-23;3.8308;4.2463;3.9535
2020-01-24;3.8475;4.2461;3.9629
2020-01-27;3.8725;4.2679;3.9915
2020-01-28;3.8844;4.2794;4.0094
2020-01-29;3.8871;4.2766;3.9873
2020-01-30;3.8856;4.2813;4.0027
2020-01-31;3.8999;4.301;4.0194
2020-02-03;3.8864;4.3034;4.0311
2020-02-04;3.8773;4.2867;4.0031
2020-02-05;3.8654;4.262;3.9744
2020-02-06;3.8672;4.2535;3.968
2020-02-07;3.8947;4.2664;3.9908
2020-02-10;3.8996;4.2699;3.9889
2020-02-11;3.9041;4.2609;3.9947
2020-02-12;3.901;4.2599;4.002
2020-02-13;3.9104;4.2557;4.005
2020-02-14;3.9098;4.2402;3.9853
2020-02-17;3.9189;4.2502;3.9921
2020-02-18;3.9448;4.2714;4.0218
2020-02-19;3.9556;4.2732;4.0213
2020-02-20;3.9621;4.2789;4.0308
2020-02-21;3.9623;4.2831;4.0367
2020-02-24;3.9772;4.3017;4.0542
2020-02-25;3.9624;4.2996;4.0537
2020-02-26;3.9573;4.3093;4.0617
2020-02-27;3.9413;4.31;4.0548
2020-02-28;3.9255;4.3355;4.0734
2020-03-02;3.9023;4.3237;4.0566
2020-03-03;3.8804;4.3173;4.0532
2020-03-04;3.8536;4.2993;4.0382
2020-03-05;3.8479;4.2994;4.0391
2020-03-06;3.8231;4.3178;4.0721
2020-03-09;3.7899;4.3176;4.0799
2020-03-10;3.8058;4.32;4.0787
2020-03-11;3.8186;4.3167;4.0737
2020-03-12;3.8642;4.3451;4.119
2020-03-13;3.9067;4.3618;4.1307
2020-03-16;3.9231;4.3911;4.1624
2020-03-17;4.046;4.4886;4.2467
2020-03-18;4.0749;4.4806;4.2474
2020-03-19;4.2421;4.5917;4.3536
2020-03-20;4.24;4.5459;4.3124
2020-03-23;4.2654;4.5571;4.3214
2020-03-24;4.2421;4.6044;4.3563
2020-03-25;4.222;4.5779;4.3137
2020-03-26;4.1988;4.5962;4.3197
2020-03-27;4.1127;4.5246;4.2675
2020-03-30;4.0933;4.5395;4.284
2020-03-31;4.1466;4.5523;4.3001
2020-04-01;4.1701;4.5694;4.3236
2020-04-02;4.1917;4.5769;4.3319
2020-04-03;4.2396;4.5792;4.3403
2020-04-06;4.2257;4.5612;4.3199
2020-04-07;4.1717;4.5342;4.2883
2020-04-08;4.1801;4.5362;4.2987
2020-04-09;4.1744;4.537;4.2986
2020-04-10;4.1566;4.5484;4.3058
2020-04-14;4.1666;4.5512;4.317
2020-04-15;4.1519;4.5389;4.3066
2020-04-16;4.1631;4.5326;4.3088
2020-04-17;4.1886;4.5367;4.3143
2020-04-20;4.1525;4.5175;4.2952
2020-04-21;4.1779;4.5276;4.3065
2020-04-22;4.1736;4.5329;4.307
2020-04-23;4.2093;4.5444;4.3229
2020-04-24;4.2142;4.533;4.3116
2020-04-27;4.1696;4.524;4.2892
2020-04-28;4.184;4.5399;4.2843
2020-04-29;4.1807;4.5432;4.3013
2020-04-30;4.1729;4.5424;4.2989
2020-05-04;4.1646;4.5582;4.3216
2020-05-05;4.1927;4.5476;4.3206
2020-05-06;4.2022;4.539;4.3112
2020-05-07;4.2162;4.5505;4.3204
2020-05-08;4.2065;4.5577;4.3293
2020-05-11;4.2126;4.5572;4.3301
2020-05-12;4.2095;4.5549;4.3316
2020-05-13;4.2111;4.5661;4.3402
2020-05-14;4.2269;4.5693;4.3445
2020-05-15;4.2135;4.5552;4.3294
2020-05-18;4.2224;4.5644;4.3419
2020-05-19;4.1645;4.561;4.2871
2020-05-20;4.1619;4.554;4.3013
2020-05-21;4.1346;4.5365;4.2787
2020-05-22;4.1503;4.5234;4.2688
2020-05-25;4.1428;4.5111;4.26
2020-05-26;4.0885;4.48;4.2226
2020-05-27;4.0504;4.4378;4.1707
2020-05-28;4.0244;4.4264;4.1494
2020-05-29;4.0031;4.4503;4.1621
2020-06-01;3.968;4.4202;4.1401
2020-06-02;3.9303;4.3902;4.1024
2020-06-03;3.9121;4.3859;4.0635
2020-06-04;3.9573;4.4347;4.119
2020-06-05;3.9217;4.4443;4.0948
2020-06-08;3.9197;4.4291;4.0729
2020-06-09;3.9453;4.4436;4.1303
2020-06-10;3.918;4.4544;4.1419
2020-06-12;3.9299;4.4506;4.1538
2020-06-15;3.9413;4.4403;4.1454
2020-06-16;3.9058;4.4278;4.1187
2020-06-17;3.9532;4.4503;4.1586
2020-06-18;3.9589;4.4534;4.1685
2020-06-19;3.9741;4.4573;4.1811
2020-06-22;3.9667;4.4524;4.1769
2020-06-23;3.9311;4.4386;4.1616
2020-06-24;3.9395;4.4532;4.1702
2020-06-25;3.9623;4.4495;4.1754
2020-06-26;3.9697;4.4616;4.1919
2020-06-29;3.9656;4.4631;4.1893
2020-06-30;3.9806;4.466;4.1818
2020-07-01;3.9591;4.4465;4.1804
2020-07-02;3.9528;4.4659;4.192
2020-07-03;3.9764;4.4671;4.2018
2020-07-06;3.9588;4.4697;4.202
2020-07-07;3.9689;4.471;4.2027
2020-07-08;3.9666;4.4739;4.2121
2020-07-09;3.9486;4.4738;4.2081
2020-07-10;3.9646;4.4745;4.2099
2020-07-13;3.9564;4.4745;4.2006
2020-07-14;3.957;4.4916;4.2117
2020-07-15;3.9117;4.4738;4.1677
2020-07-16;3.9422;4.4913;4.1719
2020-07-17;3.9263;4.4827;4.1647
2020-07-20;3.8997;4.4683;4.1513
2020-07-21;3.8812;4.4417;4.1355
2020-07-22;3.8534;4.4401;4.1248
2020-07-23;3.806;4.4108;4.1014
