Date;FX_USD/PLN;FX_EUR/PLN;FX_CHF/PLN
2013-01-02;3.066;4.0671;3.3647
2013-01-03;3.1005;4.077;3.3717
2013-01-04;3.17;4.1248;3.4106
2013-01-07;3.1618;4.1218;3.4094
2013-01-08;3.1457;4.1263;3.4123
2013-01-09;3.1516;4.1192;3.4075
2013-01-10;3.1121;4.076;3.3718
2013-01-11;3.089;4.0996;3.3693
2013-01-14;3.0828;4.1231;3.3674
2013-01-15;3.075;4.1151;3.333
2013-01-16;3.1097;4.128;3.3437
2013-01-17;3.0853;4.1178;3.3129
2013-01-18;3.0925;4.1294;3.3067
2013-01-21;3.1351;4.1762;3.3648
2013-01-22;3.1341;4.17;3.3689
2013-01-23;3.1195;4.1591;3.3587
2013-01-24;3.1503;4.1964;3.3857
2013-01-25;3.1186;4.1903;3.368
2013-01-28;3.1074;4.1805;3.3531
2013-01-29;3.1229;4.1969;3.3763
2013-01-30;3.0938;4.1858;3.3629
2013-01-31;3.0874;4.187;3.389
2013-02-01;3.0744;4.2028;3.3991
2013-02-04;3.0563;4.1515;3.3564
2013-02-05;3.0831;4.17;3.3929
2013-02-06;3.0868;4.1801;3.3841
2013-02-07;3.0886;4.1882;3.4017
2013-02-08;3.1056;4.167;3.3884
2013-02-11;3.0991;4.1519;3.3823
2013-02-12;3.1159;4.1686;3.3909
2013-02-13;3.1012;4.1781;3.3788
2013-02-14;3.1209;4.1715;3.3853
2013-02-15;3.1398;4.1852;3.4061
2013-02-18;3.141;4.193;3.4024
2013-02-19;3.136;4.1863;3.3949
2013-02-20;3.1002;4.1602;3.3728
2013-02-21;3.1633;4.176;3.396
2013-02-22;3.1443;4.1574;3.3797
2013-02-25;3.1412;4.158;3.3878
2013-02-26;3.1733;4.1613;3.4145
2013-02-27;3.1841;4.1658;3.4203
2013-02-28;3.1679;4.157;3.4072
2013-03-01;3.1769;4.1432;3.3846
2013-03-04;3.1837;4.135;3.3737
2013-03-05;3.1665;4.1361;3.3691
2013-03-06;3.166;4.1269;3.351
2013-03-07;3.1808;4.1472;3.363
2013-03-08;3.169;4.1497;3.3583
2013-03-11;3.1828;4.139;3.3475
2013-03-12;3.1887;4.15;3.3643
2013-03-13;3.1863;4.1484;3.3663
2013-03-14;3.2;4.1448;3.3539
2013-03-15;3.1868;4.1595;3.377
2013-03-18;3.2015;4.1505;3.3969
2013-03-19;3.2055;4.1465;3.386
2013-03-20;3.2169;4.1538;3.3999
2013-03-21;3.2387;4.1805;3.424
2013-03-22;3.2361;4.186;3.4257
2013-03-25;3.195;4.1586;3.4019
2013-03-26;3.2427;4.1723;3.4184
2013-03-27;3.2635;4.1779;3.4304
2013-03-28;3.2773;4.1866;3.4349
2013-03-29;3.259;4.1774;3.4323
2013-04-02;3.2552;4.1813;3.4422
2013-04-03;3.2693;4.1898;3.4416
2013-04-04;3.275;4.1898;3.4457
2013-04-05;3.2358;4.182;3.4389
2013-04-08;3.1893;4.1495;3.4137
2013-04-09;3.1696;4.1298;3.3863
2013-04-10;3.1405;4.1135;3.3727
2013-04-11;3.1382;4.1061;3.3691
2013-04-12;3.1537;4.12;3.3833
2013-04-15;3.1502;4.1125;3.3857
2013-04-16;3.1559;4.1178;3.3872
2013-04-17;3.1159;4.1097;3.3815
2013-04-18;3.1529;4.115;3.385
2013-04-19;3.1409;4.1118;3.3777
2013-04-22;3.1448;4.1025;3.3666
2013-04-23;3.1811;4.1293;3.384
2013-04-24;3.1823;4.1403;3.3682
2013-04-25;3.1792;4.1518;3.3648
2013-04-26;3.1943;4.1588;3.3843
2013-04-29;3.1712;4.1501;3.3753
2013-04-30;3.1721;4.1429;3.3821
2013-05-02;3.1492;4.1485;3.395
2013-05-06;3.1646;4.1479;3.376
2013-05-07;3.1767;4.155;3.3774
2013-05-08;3.1609;4.1487;3.3684
2013-05-09;3.1392;4.1285;3.3572
2013-05-10;3.1861;4.1417;3.3244
2013-05-13;3.2051;4.157;3.3441
2013-05-14;3.1998;4.1606;3.3549
2013-05-15;3.234;4.1725;3.3349
2013-05-16;3.2521;4.1822;3.357
2013-05-17;3.252;4.1834;3.3633
2013-05-20;3.238;4.1683;3.3457
2013-05-21;3.249;4.182;3.357
2013-05-22;3.2322;4.1813;3.3337
2013-05-23;3.2587;4.202;3.3732
2013-05-24;3.24;4.2049;3.3579
2013-05-27;3.2416;4.195;3.3723
2013-05-28;3.2465;4.1912;3.3501
2013-05-29;3.2831;4.2315;3.3832
2013-05-31;3.2953;4.2902;3.4569
2013-06-03;3.2865;4.2786;3.4335
2013-06-04;3.2524;4.252;3.4259
2013-06-05;3.2421;4.2349;3.4168
2013-06-06;3.2564;4.2742;3.4602
2013-06-07;3.2545;4.3061;3.4993
