Date;FX_USD/PLN;FX_EUR/PLN;FX_CHF/PLN
2017-01-02;4.2106;4.4157;4.1209
2017-01-03;4.2271;4.4002;4.1137
2017-01-04;4.2037;4.3877;4.0978
2017-01-05;4.1667;4.3766;4.0876
2017-01-09;4.1592;4.3783;4.0863
2017-01-10;4.127;4.3735;4.0737
2017-01-11;4.1465;4.3684;4.0706
2017-01-12;4.1103;4.3728;4.0791
2017-01-13;4.1084;4.373;4.0753
2017-01-16;4.1354;4.3792;4.0837
2017-01-17;4.0989;4.3771;4.0843
2017-01-18;4.087;4.3705;4.0798
2017-01-19;4.1014;4.3741;4.0797
2017-01-20;4.1005;4.3658;4.0705
2017-01-23;4.076;4.3725;4.0781
2017-01-24;4.0708;4.372;4.0744
2017-01-25;4.0585;4.3636;4.0654
2017-01-26;4.059;4.352;4.0644
2017-01-27;4.0595;4.3413;4.0609
2017-01-30;4.0472;4.3291;4.0529
2017-01-31;4.0446;4.3308;4.0625
2017-02-01;4.0071;4.3221;4.0465
2017-02-02;3.9835;4.3084;4.0307
2017-02-03;4.0014;4.2985;4.0192
2017-02-06;3.9892;4.2864;4.0084
2017-02-07;4.028;4.2943;4.0271
2017-02-08;4.0521;4.3128;4.0521
2017-02-09;4.0332;4.3162;4.0533
2017-02-10;4.0435;4.303;4.0322
2017-02-13;4.0496;4.3077;4.0385
2017-02-14;4.0525;4.3025;4.034
2017-02-15;4.0752;4.3025;4.042
2017-02-16;4.0567;4.316;4.0516
2017-02-17;4.0693;4.3314;4.0711
2017-02-20;4.0692;4.3227;4.0564
2017-02-21;4.0942;4.3163;4.0561
2017-02-22;4.0899;4.2977;4.0375
2017-02-23;4.084;4.3076;4.0411
2017-02-24;4.0681;4.3102;4.0477
2017-02-27;4.0745;4.3135;4.0474
2017-02-28;4.077;4.3166;4.0535
2017-03-01;4.0756;4.297;4.0387
2017-03-02;4.0765;4.2912;4.0314
2017-03-03;4.0955;4.3078;4.0413
2017-03-06;4.0663;4.31;4.029
2017-03-07;4.0803;4.3115;4.021
2017-03-08;4.0818;4.3087;4.0296
2017-03-09;4.0864;4.3146;4.0252
2017-03-10;4.0761;4.326;4.0281
2017-03-13;4.0747;4.346;4.0449
2017-03-14;4.0697;4.3295;4.0366
2017-03-15;4.0646;4.3208;4.031
2017-03-16;4.03;4.3165;4.032
2017-03-17;3.9917;4.3013;4.0122
2017-03-20;3.9821;4.2821;3.9876
2017-03-21;3.9502;4.2635;3.967
2017-03-22;3.9731;4.2855;4.0001
2017-03-23;3.9687;4.275;3.9922
2017-03-24;3.9481;4.2658;3.9839
2017-03-27;3.9259;4.263;3.9843
2017-03-28;3.9169;4.2529;3.973
