Date;FX_USD/PLN;FX_EUR/PLN;FX_CHF/PLN
2024-01-02;3.9432;4.3434;4.6596
2024-01-03;3.9909;4.3646;4.6873
2024-01-04;3.9684;4.3525;4.6718
2024-01-05;3.985;4.3484;4.6714
2024-01-08;3.9812;4.3548;4.6793
2024-01-09;3.9612;4.3351;4.6616
2024-01-10;3.9656;4.3413;4.6538
2024-01-11;3.968;4.3505;4.6637
2024-01-12;3.9746;4.3574;4.6556
2024-01-15;3.9963;4.3748;4.6797
2024-01-16;4.0358;4.3934;4.69
2024-01-17;4.0434;4.3978;4.6912
2024-01-18;4.0437;4.4016;4.6793
2024-01-19;4.0289;4.3846;4.6388
2024-01-22;3.9972;4.356;4.6073
2024-01-23;4.0133;4.3697;4.6228
2024-01-24;4.0131;4.3755;4.6387
2024-01-25;4.0189;4.379;4.6543
2024-01-26;4.0393;4.3802;4.669
2024-01-29;4.0326;4.3653;4.6785
2024-01-30;4.0301;4.3634;4.6692
2024-01-31;4.0135;4.3434;4.6511
2024-02-01;4.0047;4.3247;4.6415
2024-02-02;3.9641;4.3173;4.6291
2024-02-05;4.0244;4.3278;4.624
2024-02-06;4.0484;4.3435;4.6378
2024-02-07;4.0362;4.3466;4.6322
2024-02-08;4.0292;4.3449;4.6166
2024-02-09;4.0096;4.3167;4.5779
2024-02-12;4.0189;4.328;4.5906
2024-02-13;4.0136;4.3214;4.562
2024-02-14;4.0593;4.3435;4.5748
2024-02-15;4.0495;4.3463;4.5849
2024-02-16;4.0325;4.3414;4.5769
2024-02-19;4.0269;4.339;4.57
2024-02-20;3.9994;4.3186;4.5361
2024-02-21;3.9966;4.3163;4.5385
2024-02-22;3.9804;4.3199;4.5379
2024-02-23;4.005;4.3326;4.5427
2024-02-26;3.9776;4.3117;4.5208
2024-02-27;3.9682;4.3067;4.5113
2024-02-28;3.9922;4.3116;4.5292
2024-02-29;3.9803;4.319;4.5332
2024-03-01;3.9922;4.3176;4.5099
2024-03-04;3.982;4.3201;4.5119
2024-03-05;3.9838;4.3228;4.4971
2024-03-06;3.963;4.3106;4.4806
2024-03-07;3.9485;4.3045;4.4827
2024-03-08;3.9392;4.3079;4.4942
2024-03-11;3.9262;4.2933;4.4776
2024-03-12;3.9162;4.2804;4.4697
2024-03-13;3.9269;4.2896;4.4686
2024-03-14;3.9183;4.287;4.4538
2024-03-15;3.9392;4.2929;4.4613
2024-03-18;3.9528;4.3086;4.4711
2024-03-19;3.9866;4.3201;4.4886
2024-03-20;3.9895;4.3242;4.4771
2024-03-21;3.9431;4.3031;4.4069
2024-03-22;3.9928;4.3186;4.4337
2024-03-25;3.9833;4.3091;4.4371
2024-03-26;3.9704;4.3093;4.4047
2024-03-27;3.9857;4.3153;4.4018
2024-03-28;4.0081;4.3191;4.4228
2024-03-29;3.9886;4.3009;4.425
2024-04-02;4.0009;4.2934;4.4037
2024-04-03;3.9843;4.2923;4.3875
2024-04-04;3.9515;4.2921;4.3621
2024-04-05;3.9571;4.2883;4.3796
2024-04-08;3.9546;4.2805;4.3667
2024-04-09;3.9223;4.2588;4.3366
2024-04-10;3.9264;4.2641;4.3447
2024-04-11;3.9707;4.2649;4.3451
2024-04-12;3.9983;4.2666;4.3805
2024-04-15;4.0209;4.2851;4.4047
2024-04-16;4.0687;4.3197;4.4554
2024-04-17;4.0741;4.3353;4.4777
2024-04-18;4.0559;4.3309;4.4637
2024-04-19;4.0688;4.3316;4.4787
2024-04-22;4.054;4.3203;4.4505
2024-04-23;4.061;4.3335;4.4535
2024-04-24;4.0417;4.3177;4.4202
2024-04-25;4.0276;4.3198;4.4131
2024-04-26;4.0245;4.3225;4.4145
2024-04-29;4.0346;4.319;4.4259
2024-04-30;4.0341;4.3213;4.4217
2024-05-02;4.0474;4.3323;4.4345
2024-05-06;4.0202;4.3294;4.4438
2024-05-07;4.0056;4.3116;4.412
2024-05-08;4.0202;4.3195;4.4253
2024-05-09;4.0076;4.2993;4.4061
2024-05-10;3.9866;4.2979;4.3984
2024-05-13;3.9853;4.2977;4.3964
2024-05-14;3.9701;4.2812;4.3737
2024-05-15;3.9368;4.2635;4.3498
2024-05-16;3.9195;4.2617;4.3445
2024-05-17;3.9363;4.2685;4.3302
2024-05-20;3.9149;4.2575;4.3072
2024-05-21;3.9175;4.2572;4.3052
2024-05-22;3.9243;4.2575;4.2994
2024-05-23;3.9394;4.2699;4.3072
2024-05-24;3.9376;4.2624;4.3039
2024-05-27;3.9196;4.2528;4.2862
2024-05-28;3.9183;4.2592;4.2959
2024-05-29;3.9244;4.2529;4.2996
2024-05-31;3.9389;4.2678;4.3471
2024-06-03;3.9501;4.2817;4.3756
2024-06-04;3.9448;4.2923;4.4067
2024-06-05;3.9607;4.3081;4.4397
