Date;FX_USD/PLN;FX_EUR/PLN;FX_CHF/PLN
2014-01-02;3.0315;4.1631;3.3816
2014-01-03;3.0517;4.1645;3.3884
2014-01-07;3.0688;4.1798;3.3817
2014-01-08;3.0717;4.1789;3.3765
2014-01-09;3.0695;4.1776;3.3787
2014-01-10;3.07;4.1745;3.3818
2014-01-13;3.045;4.16;3.3718
2014-01-14;3.04;4.1565;3.3731
2014-01-15;3.0495;4.1522;3.3614
2014-01-16;3.0566;4.1647;3.3713
2014-01-17;3.0596;4.1601;3.3745
2014-01-20;3.068;4.1586;3.3719
2014-01-21;3.0763;4.1647;3.3706
2014-01-22;3.0761;4.1669;3.3758
2014-01-23;3.0559;4.1679;3.3843
2014-01-24;3.0727;4.2014;3.4237
2014-01-27;3.0884;4.2291;3.452
2014-01-28;3.0635;4.1827;3.4065
2014-01-29;3.0829;4.2155;3.4348
2014-01-30;3.1166;4.2365;3.4663
2014-01-31;3.1288;4.2368;3.4644
2014-02-03;3.137;4.2375;3.4678
2014-02-04;3.1189;4.214;3.4489
2014-02-05;3.0987;4.1887;3.4254
2014-02-06;3.095;4.186;3.4227
2014-02-07;3.0857;4.1865;3.4229
2014-02-10;3.0683;4.1822;3.4196
2014-02-11;3.0581;4.1798;3.4149
2014-02-12;3.0552;4.1686;3.4036
2014-02-13;3.0532;4.1752;3.417
2014-02-14;3.0334;4.153;3.3974
2014-02-17;3.025;4.145;3.3917
2014-02-18;3.03;4.1584;3.4017
2014-02-19;3.0286;4.1638;3.4083
2014-02-20;3.049;4.178;3.4247
2014-02-21;3.0389;4.1681;3.4149
2014-02-24;3.0255;4.1638;3.4121
2014-02-25;3.0264;4.1595;3.4103
2014-02-26;3.026;4.1584;3.4094
2014-02-27;3.0655;4.1851;3.4407
2014-02-28;3.0254;4.1602;3.4211
2014-03-03;3.0462;4.1978;3.4607
2014-03-04;3.0489;4.1926;3.4474
2014-03-05;3.0477;4.186;3.4344
2014-03-06;3.0427;4.1788;3.4267
2014-03-07;3.0185;4.1893;3.4361
2014-03-10;3.0266;4.1991;3.4465
2014-03-11;3.0449;4.2171;3.4626
2014-03-12;3.0508;4.229;3.4774
2014-03-13;3.0284;4.2277;3.4787
2014-03-14;3.0481;4.2334;3.487
2014-03-17;3.043;4.2295;3.4806
2014-03-18;3.0396;4.2295;3.4786
2014-03-19;3.0245;4.2065;3.4538
