Date;FX_USD/PLN;FX_EUR/PLN;FX_CHF/PLN
2023-01-02;4.3811;4.6784;4.7379
2023-01-03;4.4373;4.68;4.7342
2023-01-04;4.3998;4.6688;4.7454
2023-01-05;4.397;4.6709;4.7437
2023-01-09;4.401;4.697;4.7606
2023-01-10;4.372;4.6981;4.7525
2023-01-11;4.3639;4.6871;4.7266
2023-01-12;4.3556;4.6888;4.6773
2023-01-13;4.3272;4.6915;4.66
2023-01-16;4.3436;4.7004;4.6959
2023-01-17;4.3398;4.6946;4.7005
2023-01-18;4.3322;4.7091;4.7449
2023-01-19;4.3469;4.7053;4.7437
2023-01-20;4.352;4.7137;4.7281
2023-01-23;4.3242;4.7186;4.7118
2023-01-24;4.3341;4.7073;4.7014
2023-01-25;4.3265;4.7079;4.687
2023-01-26;4.3354;4.7239;4.7142
2023-01-27;4.3252;4.7076;4.6961
2023-01-30;4.3258;4.716;4.7054
2023-01-31;4.348;4.7089;4.6918
2023-02-01;4.3254;4.708;4.7222
2023-02-02;4.2803;4.7079;4.7147
2023-02-03;4.2928;4.692;4.7023
2023-02-06;4.3833;4.7195;4.7458
2023-02-07;4.4325;4.7476;4.7856
2023-02-08;4.4074;4.7402;4.8004
2023-02-09;4.4003;4.7363;4.7912
2023-02-10;4.4565;4.7716;4.8283
2023-02-13;4.4856;4.7895;4.8582
2023-02-14;4.4463;4.7847;4.8519
2023-02-15;4.4372;4.7593;4.8105
2023-02-16;4.4601;4.7728;4.8349
2023-02-17;4.4888;4.7747;4.8144
2023-02-20;4.4515;4.7542;4.8185
2023-02-21;4.4524;4.7469;4.816
2023-02-22;4.4687;4.7538;4.8176
2023-02-23;4.4873;4.7525;4.8085
2023-02-24;4.463;4.7245;4.7749
2023-02-27;4.4697;4.7162;4.7487
2023-02-28;4.4475;4.717;4.7424
2023-03-01;4.4094;4.6925;4.7031
2023-03-02;4.4002;4.675;4.6743
2023-03-03;4.4341;4.7046;4.728
2023-03-06;4.4289;4.7073;4.7402
2023-03-07;4.3981;4.6871;4.7156
2023-03-08;4.4626;4.7018;4.7342
2023-03-09;4.4356;4.6836;4.7319
2023-03-10;4.4266;4.6838;4.7578
2023-03-13;4.3906;4.6848;4.8054
2023-03-14;4.3793;4.6909;4.8035
2023-03-15;4.403;4.7015;4.7938
2023-03-16;4.4248;4.6978;4.7718
2023-03-17;4.4202;4.7062;4.7728
2023-03-20;4.413;4.7109;4.7477
2023-03-21;4.3715;4.6981;4.7167
2023-03-22;4.3467;4.6888;4.7154
2023-03-23;4.3011;4.6817;4.697
2023-03-24;4.3742;4.6911;4.7623
2023-03-27;4.3518;4.6856;4.75
2023-03-28;4.33;4.6816;4.7205
2023-03-29;4.3247;4.685;4.7012
2023-03-30;4.3043;4.6801;4.698
2023-03-31;4.2934;4.6755;4.6856
2023-04-03;4.3168;4.6805;4.7033
2023-04-04;4.2855;4.6785;4.6989
2023-04-05;4.2739;4.6803;4.724
2023-04-06;4.3033;4.6902;4.757
2023-04-07;4.2932;4.6862;4.7486
2023-04-11;4.2917;4.681;4.7467
2023-04-12;4.2713;4.666;4.7301
2023-04-13;4.2225;4.6511;4.7361
2023-04-14;4.2042;4.6494;4.7334
2023-04-17;4.2261;4.6341;4.7222
2023-04-18;4.2151;4.6286;4.7031
2023-04-19;4.2244;4.6278;4.7023
2023-04-20;4.2024;4.6109;4.6914
2023-04-21;4.2006;4.6039;4.701
2023-04-24;4.1905;4.6129;4.7116
2023-04-25;4.1649;4.598;4.6993
2023-04-26;4.1557;4.5887;4.6702
2023-04-27;4.1541;4.5915;4.655
2023-04-28;4.1753;4.5889;4.6619
2023-05-02;4.1823;4.5892;4.6555
2023-05-04;4.1547;4.5868;4.6792
2023-05-05;4.1612;4.5885;4.6652
2023-05-08;4.1384;4.5671;4.6572
2023-05-09;4.1609;4.5683;4.6637
2023-05-10;4.1532;4.5488;4.6633
2023-05-11;4.1414;4.5259;4.6284
2023-05-12;4.1638;4.5444;4.6693
2023-05-15;4.149;4.5096;4.624
2023-05-16;4.1228;4.4904;4.6176
2023-05-17;4.1504;4.4945;4.6095
2023-05-18;4.1929;4.5355;4.6568
2023-05-19;4.2053;4.5367;4.6571
2023-05-22;4.1881;4.5269;4.6753
2023-05-23;4.1634;4.4981;4.6298
2023-05-24;4.1573;4.4803;4.6087
2023-05-25;4.1994;4.503;4.6363
2023-05-26;4.2156;4.5242;4.6634
2023-05-29;4.2234;4.5294;4.6758
2023-05-30;4.2242;4.522;4.6688
2023-05-31;4.2559;4.5376;4.671
2023-06-01;4.2399;4.5312;4.6572
2023-06-02;4.1903;4.5148;4.6332
2023-06-05;4.1933;4.4851;4.6041
2023-06-06;4.1964;4.4902;4.6298
2023-06-07;4.1887;4.479;4.6211
2023-06-09;4.1545;4.4717;4.6136
2023-06-12;4.1169;4.4366;4.5623
2023-06-13;4.1439;4.4783;4.5802
2023-06-14;4.1393;4.4715;4.5779
2023-06-15;4.1203;4.4633;4.5618
2023-06-16;4.0715;4.4583;4.57
2023-06-19;4.068;4.4457;4.5464
2023-06-20;4.058;4.4386;4.5248
2023-06-21;4.0648;4.4408;4.5326
2023-06-22;4.033;4.4335;4.5109
2023-06-23;4.0893;4.4367;4.5414
2023-06-26;4.0669;4.4297;4.543
2023-06-27;4.0481;4.4286;4.5243
2023-06-28;4.0719;4.46;4.5508
2023-06-29;4.0832;4.4568;4.5531
2023-06-30;4.1066;4.4503;4.5562
2023-07-03;4.0714;4.4321;4.5288
2023-07-04;4.0636;4.4273;4.5359
2023-07-05;4.0869;4.4498;4.5511
2023-07-06;4.1191;4.4754;4.5894
2023-07-07;4.1189;4.4803;4.5978
2023-07-10;4.0632;4.4553;4.5688
2023-07-11;4.0374;4.4426;4.5779
2023-07-12;4.0347;4.4471;4.5948
2023-07-13;3.9724;4.4336;4.6028
2023-07-14;3.9617;4.4486;4.6193
2023-07-17;3.9616;4.452;4.6113
2023-07-18;3.9451;4.4331;4.5913
2023-07-19;3.9612;4.4492;4.6113
2023-07-20;3.971;4.4511;4.6276
2023-07-21;3.999;4.4501;4.6156
2023-07-24;4.021;4.4517;4.634
2023-07-25;4.008;4.4348;4.6172
2023-07-26;3.9949;4.4248;4.6316
2023-07-27;3.9702;4.4224;4.6383
2023-07-28;4.0377;4.4257;4.635
2023-07-31;3.9995;4.4135;4.5943
2023-08-01;4.0262;4.419;4.6024
2023-08-02;4.0497;4.4484;4.6167
2023-08-03;4.081;4.4585;4.6523
2023-08-04;4.062;4.4438;4.6282
2023-08-07;4.0347;4.4279;4.6069
2023-08-08;4.0396;4.4375;4.6231
2023-08-09;4.0592;4.4586;4.6398
2023-08-10;4.0521;4.465;4.6402
2023-08-11;4.0501;4.4547;4.6199
2023-08-14;4.0525;4.4361;4.6212
2023-08-16;4.0832;4.4621;4.6507
2023-08-17;4.1094;4.4681;4.673
2023-08-18;4.1285;4.4869;4.6897
2023-08-21;4.1124;4.4768;4.6718
2023-08-22;4.0924;4.4648;4.6632
2023-08-23;4.1438;4.4834;4.7067
2023-08-24;4.118;4.473;4.683
2023-08-25;4.1419;4.4674;4.6767
2023-08-28;4.14;4.4716;4.6821
2023-08-29;4.1341;4.469;4.6725
2023-08-30;4.1167;4.474;4.6807
2023-08-31;4.1074;4.4684;4.6636
2023-09-01;4.1263;4.4762;4.6742
2023-09-04;4.1353;4.4653;4.6767
2023-09-05;4.1643;4.4764;4.691
2023-09-06;4.1895;4.4974;4.7086
2023-09-07;4.289;4.594;4.8067
2023-09-08;4.2958;4.6019;4.8225
2023-09-11;4.3077;4.6209;4.8313
2023-09-12;4.3711;4.6836;4.9015
2023-09-13;4.3225;4.6402;4.8403
2023-09-14;4.312;4.6285;4.8261
2023-09-15;4.3418;4.6307;4.8481
2023-09-18;4.3489;4.6377;4.8519
2023-09-19;4.3472;4.6458;4.8505
2023-09-20;4.3501;4.6529;4.8483
2023-09-21;4.3365;4.621;4.7809
2023-09-22;4.3269;4.6069;4.7752
2023-09-25;4.3188;4.5892;4.747
2023-09-26;4.3485;4.6077;4.7657
2023-09-27;4.3622;4.6065;4.759
2023-09-28;4.4062;4.634;4.7973
2023-09-29;4.3697;4.6356;4.803
2023-10-02;4.3634;4.6091;4.7869
2023-10-03;4.4012;4.6147;4.7848
2023-10-04;4.4155;4.6303;4.8065
2023-10-05;4.3768;4.5974;4.7683
2023-10-06;4.3608;4.5998;4.7768
2023-10-09;4.3439;4.5793;4.7704
2023-10-10;4.2985;4.5581;4.7537
2023-10-11;4.2589;4.5183;4.7174
2023-10-12;4.2659;4.5329;4.7398
2023-10-13;4.3033;4.5417;4.747
2023-10-16;4.2505;4.4804;4.7085
2023-10-17;4.2131;4.4389;4.6676
2023-10-18;4.2035;4.4488;4.6753
2023-10-19;4.2264;4.4529;4.6989
2023-10-20;4.2194;4.4675;4.7328
2023-10-23;4.2022;4.4552;4.7083
2023-10-24;4.1884;4.4604;4.6974
2023-10-25;4.2284;4.4758;4.7236
2023-10-26;4.2395;4.4708;4.7123
2023-10-27;4.2267;4.4642;4.6935
2023-10-30;4.204;4.4491;4.6546
2023-10-31;4.1684;4.4475;4.6227
2023-11-02;4.1963;4.4582;4.6466
2023-11-03;4.1857;4.4569;4.6293
2023-11-06;4.1512;4.4615;4.6322
2023-11-07;4.1667;4.4513;4.6283
2023-11-08;4.1804;4.4584;4.6343
2023-11-09;4.1513;4.4413;4.61
2023-11-10;4.1423;4.4227;4.5905
2023-11-13;4.1474;4.4336;4.5975
2023-11-14;4.121;4.4163;4.572
2023-11-15;4.0453;4.39;4.5495
2023-11-16;4.0415;4.3854;4.5452
2023-11-17;4.0327;4.3767;4.5427
2023-11-20;3.9938;4.368;4.5248
2023-11-21;3.9882;4.3647;4.5106
2023-11-22;4.018;4.3804;4.5433
2023-11-23;3.9969;4.3658;4.5274
2023-11-24;4.0103;4.3722;4.5348
2023-11-27;3.9769;4.3543;4.512
2023-11-28;3.975;4.3542;4.5175
2023-11-29;3.9478;4.3327;4.5031
2023-11-30;3.981;4.3492;4.551
2023-12-01;3.991;4.3494;4.567
2023-12-04;3.985;4.3337;4.5678
2023-12-05;3.991;4.3233;4.5689
2023-12-06;4.0202;4.3382;4.5982
2023-12-07;4.0199;4.3334;4.6027
2023-12-08;4.0181;4.3303;4.5913
2023-12-11;4.0277;4.3366;4.5824
2023-12-12;4.0204;4.3396;4.581
2023-12-13;4.0149;4.3309;4.5827
2023-12-14;3.9484;4.3053;4.5328
2023-12-15;3.9326;4.3103;4.5374
2023-12-18;3.9625;4.3269;4.5611
2023-12-19;3.9591;4.3321;4.5709
2023-12-20;3.9527;4.3341;4.5885
2023-12-21;3.9645;4.3387;4.5988
2023-12-22;3.9338;4.3288;4.597
2023-12-27;3.9178;4.3311;4.599
2023-12-28;3.899;4.3392;4.6671
2023-12-29;3.935;4.348;4.6828
